id,type_desc,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
79385,BusNo,0:24:56,12.62803197,04-11-18 10:57,14.42882,99.13068,04-11-18 11:22,14.40953,99.12895
89094,BusNo,1:11:44,88.81551514,04-11-18 13:35,14.733507,98.64979,04-11-18 14:47,14.134152,99.156012
90144,BusNo,1:41:13,67.78760988,04-11-18 14:44,14.016135,99.534215,04-11-18 16:25,14.283562,99.01338
90672,BusNo,0:27:12,30.38408758,04-11-18 9:06,14.04526,99.50765,04-11-18 9:34,14.097285,99.244342
91291,BusNo,6:01:34,54.38792731,04-11-18 9:01,14.432843,99.129695,04-11-18 15:02,14.223028,99.239005
91578,BusNo,0:50:29,57.90130893,04-11-18 11:16,14.055145,99.499585,04-11-18 12:06,14.38548,99.144385
91813,BusNo,0:27:44,9.280158934,04-11-18 22:08,14.116715,99.18748,04-11-18 22:36,14.124657,99.173843
93213,BusNo,0:40:06,22.08736656,04-11-18 8:34,14.094048,99.168797,04-11-18 9:14,14.23007,99.067255
93252,BusNo,0:51:29,44.8545718,04-11-18 10:29,14.033445,99.524188,04-11-18 11:21,14.107112,99.160155
93280,BusNo,0:41:08,36.25238189,04-11-18 8:54,14.441535,98.851023,04-11-18 9:35,14.229087,99.065443
94059,BusNo,0:51:22,25.61188392,04-11-18 11:08,13.972643,99.281665,04-11-18 11:59,14.114625,99.148107
95387,BusNo,0:57:30,59.07703474,04-11-18 12:28,14.043085,99.505832,04-11-18 13:25,14.382082,99.138277
95387,BusNo,0:57:39,53.8544967,04-11-18 15:45,14.383863,99.138663,04-11-18 16:43,14.28164,99.001945
95532,BusNo,1:26:50,87.32177829,04-11-18 10:26,14.030963,99.83589,04-11-18 11:53,14.107138,99.160437
95532,BusNo,1:33:33,51.98968118,04-11-18 12:48,14.110462,99.154572,04-11-18 14:21,14.424883,99.131445
95534,BusNo,0:11:04,2.040214194,04-11-18 10:07,14.224335,99.051108,04-11-18 10:18,14.23713,99.058775
95672,BusNo,1:08:25,28.98474146,04-11-18 14:08,14.430288,99.13022,04-11-18 15:16,14.224028,99.239307
96066,BusNo,1:41:57,105.6008492,04-11-18 15:14,14.98095,98.631495,04-11-18 16:56,14.238058,99.057823
96280,BusNo,0:19:09,16.10022581,04-11-18 13:07,14.10705,99.161048,04-11-18 13:26,14.04385,99.2475
96280,BusNo,3:13:09,177.4669864,04-11-18 7:45,13.876335,100.576045,04-11-18 10:58,14.117767,99.148953
96735,BusNo,0:29:17,27.90475113,04-11-18 9:07,14.282268,99.001627,04-11-18 9:37,14.206475,99.210515
96735,BusNo,0:30:14,25.00432231,04-11-18 10:38,14.218103,99.22526,04-11-18 11:08,14.374792,99.144187
96735,BusNo,0:13:12,9.863384577,04-11-18 8:35,14.231025,99.063842,04-11-18 8:49,14.28166,99.001203
96736,BusNo,0:53:26,67.35313449,04-11-18 15:36,14.07234,99.650022,04-11-18 16:30,14.207335,99.094272
97622,BusNo,0:21:12,6.81211004,04-11-18 17:03,14.420752,99.146968,04-11-18 17:25,14.374093,99.149772
100004,BusNo,0:52:26,28.5610541,04-11-18 6:50,14.130535,99.436699,04-11-18 7:42,14.212465,99.234344
100016,BusNo,1:07:43,53.43122742,04-11-18 7:55,14.281504,99.000923,04-11-18 9:02,14.375245,99.143982
100016,BusNo,1:18:44,54.55947754,04-11-18 14:18,14.375981,99.14328,04-11-18 15:37,14.28168,99.000626
100104,BusNo,1:38:54,34.02016764,04-11-18 17:14,14.036602,99.520607,04-11-18 18:53,14.176082,99.263687
104511,BusNo,0:39:54,38.96826696,04-11-18 10:41,14.046413,99.509196,04-11-18 11:20,14.122676,99.17748
104659,BusNo,1:16:18,66.31745425,04-11-18 8:51,14.105595,99.41433,04-11-18 10:07,14.528835,99.168026
104659,BusNo,0:55:43,24.75611632,04-11-18 12:28,14.528335,99.168098,04-11-18 13:23,14.409935,99.13084
104853,BusNo,1:17:33,98.56162077,04-11-18 12:39,14.70643,98.666938,04-11-18 13:57,14.094558,99.266446
104857,BusNo,0:25:18,30.21964718,04-11-18 13:45,14.053803,99.432765,04-11-18 14:11,14.078001,99.190023
104879,BusNo,1:02:51,73.69152186,04-11-18 14:03,14.71924,98.664213,04-11-18 15:06,14.219543,99.064943
104900,BusNo,6:01:19,366.9438823,04-11-18 10:33,14.057603,99.507773,04-11-18 16:34,14.220633,99.073343
104900,BusNo,0:16:13,9.381296527,04-11-18 8:31,14.233111,99.066596,04-11-18 8:47,14.284678,99.002346
104907,BusNo,1:06:48,74.07377034,04-11-18 14:03,14.723678,98.6624,04-11-18 15:09,14.218375,99.063568
104907,BusNo,10:40:48,58.57915595,04-11-18 17:15,14.026058,99.52686,05-11-18 3:55,14.219335,99.063255
105087,BusNo,1:17:33,74.16434542,04-11-18 14:03,14.721161,98.663483,04-11-18 15:20,14.218966,99.063235
105140,BusNo,0:53:51,49.31785084,04-11-18 11:02,14.114183,99.136021,04-11-18 11:55,14.374898,99.144701
105140,BusNo,0:44:54,34.75379804,04-11-18 8:48,14.087788,99.417545,04-11-18 9:33,14.115543,99.136846
105178,BusNo,4:21:44,274.5977734,04-11-18 3:43,13.63406,101.0387,04-11-18 8:05,14.529176,99.171333
105262,BusNo,0:52:37,59.14767266,04-11-18 7:20,14.042843,99.513303,04-11-18 8:12,14.381401,99.137978
106323,BusNo,0:16:07,6.049845803,04-11-18 9:07,14.10723,99.15795,04-11-18 9:23,14.09787,99.17282
109637,BusNo,0:48:34,43.16081445,04-11-18 13:55,13.979849,99.622008,04-11-18 14:43,14.088988,99.279376
109941,BusNo,0:58:03,48.83149378,04-11-18 12:31,13.926408,99.082813,04-11-18 13:30,14.093749,99.178746
111830,BusNo,1:37:55,105.0967889,04-11-18 10:30,14.981364,98.631415,04-11-18 12:08,14.229612,99.064746
112134,BusNo,0:52:13,56.82787254,04-11-18 16:26,14.044794,99.505796,04-11-18 17:18,14.36282,99.155296
112392,BusNo,1:33:47,106.2653241,04-11-18 10:34,14.980692,98.631518,04-11-18 12:08,14.229156,99.064944
114373,BusNo,1:43:35,70.63435439,04-11-18 8:52,14.50367,98.820664,04-11-18 10:36,14.089223,99.27994
116429,BusNo,1:26:11,84.3792061,04-11-18 10:27,13.966314,99.72774,04-11-18 11:54,14.235887,99.059836
116429,BusNo,0:52:48,9.990872624,04-11-18 12:54,14.2394,99.056057,04-11-18 13:47,14.289263,99.007536
133222,BusNo,0:11:59,7.599054781,04-11-18 21:26,14.255968,99.012785,04-11-18 21:38,14.212875,99.053626
133222,BusNo,0:37:55,16.14101542,04-11-18 11:51,14.238066,99.015458,04-11-18 12:29,14.254043,99.015961
